longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,Actual House Prize,Predicted House Prize,Error,Deviation
-117.08,32.73,36.0,3331.0,643.0,1903.0,622.0,3.6974,4,122000.0,217756.89835207714,95756.89835207714,-95756.89835207714
-118.18,33.77,49.0,2297.0,759.0,1105.0,629.0,1.8388,4,175000.0,233051.6489772674,58051.64897726741,-58051.64897726741
-117.09,32.78,28.0,1708.0,393.0,816.0,393.0,2.9881,4,165300.0,199403.94781255262,34103.94781255262,-34103.94781255262
-121.48,38.55,52.0,2508.0,360.0,832.0,345.0,7.1035,1,228700.0,317855.3324550019,89155.33245500189,-89155.33245500189
-121.31,37.96,52.0,1829.0,301.0,694.0,319.0,3.3466,1,92600.0,186069.83717347446,93469.83717347446,-93469.83717347446
-117.96,34.0,34.0,2777.0,540.0,1954.0,522.0,4.5163,0,183800.0,214241.0077879674,30441.00778796739,-30441.00778796739
-124.14,40.72,18.0,2581.0,499.0,1375.0,503.0,2.8446,4,100500.0,129680.26124321994,29180.26124321994,-29180.26124321994
-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,1,59800.0,98044.68984412543,38244.68984412543,-38244.68984412543
-117.97,33.85,30.0,2513.0,476.0,1611.0,472.0,4.0061,0,182900.0,203012.4664991488,20112.46649914881,-20112.46649914881
-121.92,36.62,52.0,867.0,199.0,391.0,187.0,2.6713,4,234600.0,240863.0822548726,6263.082254872599,-6263.082254872599
-119.3,36.57,32.0,728.0,463.52670042282193,461.0,149.0,3.0156,1,109100.0,162373.66235917114,53273.66235917114,-53273.66235917114
-118.48,33.96,16.0,895.0,181.0,237.0,149.0,12.0088,0,500001.0,554468.2655780253,54467.26557802525,-54467.26557802525
-119.47,35.13,44.0,4599.0,877.0,2140.0,831.0,2.9952,1,63800.0,222118.42778384147,158318.42778384147,-158318.42778384147
-118.11,34.14,44.0,3298.0,615.0,1417.0,643.0,4.1324,0,434800.0,253119.80612299487,181680.19387700513,181680.19387700513
-122.11,37.88,37.0,4005.0,614.0,1602.0,606.0,6.4666,3,348200.0,328822.97360580385,19377.026394196146,19377.026394196146
-118.19,34.11,26.0,1638.0,457.0,1155.0,437.0,3.4227,0,143800.0,202925.52419017194,59125.52419017194,-59125.52419017194
-121.31,36.42,21.0,2740.0,615.0,2630.0,564.0,2.6629,0,102700.0,142121.55506806797,39421.55506806797,-39421.55506806797
-121.28,38.11,10.0,2974.0,588.0,1559.0,568.0,3.8825,1,136800.0,157786.32697836796,20986.326978367957,-20986.326978367957
-116.84,33.08,15.0,2755.0,519.0,1474.0,460.0,4.0408,0,225900.0,182287.32853600255,43612.67146399745,43612.67146399745
-122.56,37.98,36.0,2649.0,542.0,1111.0,557.0,4.8056,3,345700.0,302994.4237048548,42705.576295145205,42705.576295145205
-118.51,34.2,35.0,1614.0,308.0,850.0,330.0,4.1806,0,209000.0,238076.7907030031,29076.79070300309,-29076.79070300309
-117.28,32.74,33.0,4168.0,1112.0,1785.0,984.0,2.7515,4,247700.0,281276.5770186676,33576.577018667595,-33576.577018667595
-118.57,34.18,36.0,2981.0,441.0,1243.0,413.0,6.5304,0,439800.0,327388.3445647529,112411.65543524711,112411.65543524711
-122.84,38.39,16.0,1688.0,292.0,793.0,280.0,4.4357,0,216900.0,228442.0444718605,11542.044471860514,-11542.044471860514
-122.05,38.0,16.0,1085.0,217.0,356.0,232.0,2.3462,3,75000.0,140947.95451721447,65947.95451721447,-65947.95451721447
-118.37,34.04,43.0,1465.0,278.0,727.0,290.0,4.0781,0,289400.0,244153.49069121675,45246.50930878325,45246.50930878325
-122.09,37.4,26.0,3218.0,1021.0,2087.0,964.0,3.2875,3,182700.0,283080.90150407807,100380.90150407807,-100380.90150407807
-117.12,32.75,17.0,2060.0,633.0,1251.0,602.0,1.9886,4,119200.0,175479.8439572369,56279.84395723691,-56279.84395723691
-118.36,33.86,35.0,2126.0,434.0,1044.0,433.0,5.5456,0,297400.0,313042.88250198663,15642.882501986634,-15642.882501986634
-122.49,37.78,52.0,2050.0,439.0,1109.0,437.0,2.6719,3,318500.0,220812.96050688045,97687.03949311955,97687.03949311955
-118.58,34.22,35.0,2560.0,441.0,1428.0,468.0,5.6345,0,228200.0,288769.4666844198,60569.46668441978,-60569.46668441978
-121.27,38.13,35.0,2607.0,685.0,2016.0,618.0,1.75,1,82900.0,96946.74040173674,14046.740401736737,-14046.740401736737
-122.43,37.73,52.0,1985.0,401.0,1337.0,424.0,4.1071,3,240900.0,261260.97075922645,20360.970759226446,-20360.970759226446
-118.19,34.06,37.0,1715.0,456.0,2052.0,440.0,2.3125,0,116100.0,123418.06299545382,7318.062995453816,-7318.062995453816
-118.09,34.02,28.0,1984.0,313.0,1099.0,343.0,4.5526,0,250200.0,219279.1089410344,30920.891058965586,30920.891058965586
-118.37,33.91,41.0,1869.0,427.0,1334.0,435.0,3.9355,0,227800.0,239192.72677080668,11392.72677080668,-11392.72677080668
-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,1,85000.0,36325.81016605205,48674.18983394795,48674.18983394795
-118.4,34.17,24.0,4443.0,1283.0,2421.0,1180.0,2.2652,0,269200.0,244780.08642998818,24419.91357001182,24419.91357001182
-122.12,37.4,31.0,2356.0,405.0,921.0,358.0,7.0245,3,500001.0,370476.4959329996,129524.50406700041,129524.50406700041
-119.22,36.31,17.0,2079.0,459.0,2022.0,462.0,1.5464,1,54100.0,17643.636754495674,36456.363245504326,36456.363245504326
-117.9,33.74,19.0,1566.0,379.0,1032.0,330.0,2.2105,0,180400.0,135001.3900057929,45398.6099942071,45398.6099942071
-122.11,37.83,19.0,5130.0,741.0,1887.0,712.0,7.203,3,369900.0,339298.3424986574,30601.65750134259,30601.65750134259
-122.03,38.01,27.0,3228.0,562.0,1666.0,588.0,4.5707,3,175900.0,228582.98553862033,52682.98553862033,-52682.98553862033
-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4.4821,1,140300.0,153839.97011603793,13539.970116037934,-13539.970116037934
-118.11,34.19,50.0,1430.0,186.0,620.0,201.0,9.532,1,483300.0,443305.9279201875,39994.072079812526,39994.072079812526
-119.03,35.36,41.0,1944.0,363.0,977.0,388.0,3.9097,1,81300.0,209090.69411488873,127790.69411488873,-127790.69411488873
-118.14,34.16,38.0,1843.0,565.0,1449.0,524.0,2.2174,0,215400.0,168398.3673278502,47001.632672149804,47001.632672149804
-121.15,38.21,18.0,4176.0,700.0,2164.0,699.0,4.0365,1,174200.0,143652.74751672937,30547.252483270626,30547.252483270626
-122.18,37.73,42.0,909.0,215.0,646.0,198.0,2.9063,3,80000.0,193597.022999439,113597.02299943901,-113597.02299943901
-119.07,35.42,19.0,3889.0,832.0,1872.0,731.0,2.6812,1,107600.0,160960.02122986654,53360.02122986654,-53360.02122986654
-117.88,33.74,31.0,1120.0,296.0,1718.0,268.0,2.8077,0,140300.0,123942.7572070743,16357.242792925696,16357.242792925696
-119.2,34.26,13.0,3009.0,588.0,1439.0,607.0,4.1845,4,199500.0,255615.8663479435,56115.86634794349,-56115.86634794349
-117.95,33.66,22.0,2785.0,441.0,1086.0,392.0,7.3719,0,337400.0,351319.64993835136,13919.649938351358,-13919.649938351358
-120.65,35.27,27.0,2034.0,341.0,768.0,316.0,4.2411,4,258900.0,277829.4764072577,18929.476407257724,-18929.476407257724
-117.02,32.81,14.0,3173.0,599.0,1451.0,585.0,3.7292,0,182200.0,205488.47815357463,23288.47815357463,-23288.47815357463
-121.78,37.34,11.0,3195.0,410.0,1774.0,418.0,7.0671,0,378200.0,288257.23148403014,89942.76851596986,89942.76851596986
-118.21,34.1,36.0,2000.0,533.0,1234.0,535.0,3.7437,0,241700.0,239478.6871467458,2221.312853254203,2221.312853254203
-119.73,36.8,15.0,2376.0,538.0,1197.0,510.0,3.1417,1,74600.0,137555.7159341877,62955.7159341877,-62955.7159341877
-122.32,40.42,17.0,3019.0,578.0,1538.0,545.0,2.793,1,76500.0,65113.192423737055,11386.807576262945,11386.807576262945
-118.16,33.96,24.0,1635.0,507.0,2480.0,481.0,2.4432,0,187500.0,106983.87766595963,80516.12233404037,80516.12233404037
-122.01,37.54,32.0,2572.0,406.0,1128.0,395.0,5.0,3,287600.0,267429.76274577563,20170.23725422437,20170.23725422437
-117.45,33.92,35.0,2552.0,588.0,1840.0,551.0,2.2548,1,113300.0,123283.58209441531,9983.58209441531,-9983.58209441531
-118.96,35.4,27.0,2473.0,400.0,1271.0,427.0,3.5524,1,89100.0,160494.10204923816,71394.10204923816,-71394.10204923816
-122.03,37.98,16.0,1209.0,477.0,627.0,482.0,1.3894,3,156300.0,146878.4025314555,9421.597468544496,9421.597468544496
-118.32,34.03,31.0,2206.0,501.0,1194.0,435.0,1.9531,0,227800.0,153735.57501417754,74064.42498582246,74064.42498582246
-119.72,36.82,16.0,2627.0,613.0,1054.0,623.0,1.9483,1,112500.0,113628.69760128477,1128.6976012847736,-1128.6976012847736
-118.5,33.99,22.0,3484.0,975.0,1268.0,952.0,3.2609,0,500001.0,302108.3074328318,197892.6925671682,197892.6925671682
-122.5,37.74,45.0,1771.0,349.0,1098.0,342.0,3.7552,4,296600.0,241830.16900257266,54769.83099742734,54769.83099742734
-117.39,33.95,36.0,1380.0,269.0,598.0,262.0,3.1667,1,122900.0,165907.16749177524,43007.16749177524,-43007.16749177524
-122.86,39.08,24.0,3127.0,674.0,1015.0,448.0,2.0417,1,78800.0,152984.664721474,74184.664721474,-74184.664721474
-118.36,33.98,29.0,2861.0,816.0,1715.0,775.0,2.7712,0,160900.0,229800.35886597954,68900.35886597954,-68900.35886597954
-117.31,33.24,6.0,1580.0,288.0,792.0,265.0,4.0469,0,162400.0,185116.6316909516,22716.631690951588,-22716.631690951588
-118.52,34.18,46.0,2082.0,438.0,1047.0,393.0,3.6534,0,216000.0,238638.61419815107,22638.614198151074,-22638.614198151074
-120.47,34.71,21.0,2535.0,383.0,1012.0,368.0,5.6177,4,183800.0,334681.0456091962,150881.04560919618,-150881.04560919618
-118.09,33.97,35.0,2664.0,541.0,2033.0,491.0,3.7326,0,164300.0,184709.51041152098,20409.510411520983,-20409.510411520983
-121.83,37.28,19.0,2644.0,833.0,2317.0,780.0,3.1042,0,183100.0,213585.6846910585,30485.6846910585,-30485.6846910585
-119.55,36.72,6.0,1186.0,234.0,1135.0,218.0,2.1515,1,63900.0,30456.713560181437,33443.28643981856,33443.28643981856
-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,3,118100.0,149311.67499105737,31211.67499105737,-31211.67499105737
-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,1.0585,1,45100.0,35592.83632113517,9507.163678864832,9507.163678864832
-118.29,34.1,39.0,631.0,298.0,744.0,274.0,2.7054,0,162500.0,189593.41080189243,27093.41080189243,-27093.41080189243
-122.33,39.1,10.0,266.0,62.0,154.0,49.0,2.25,1,75000.0,79006.556762359,4006.556762359003,-4006.556762359003
-118.23,33.93,39.0,2065.0,532.0,2015.0,535.0,0.8478,0,104900.0,89476.33098931269,15423.669010687314,15423.669010687314
-117.31,34.39,15.0,1703.0,273.0,847.0,266.0,3.7917,1,123400.0,129932.83072632506,6532.830726325061,-6532.830726325061
-119.36,36.21,18.0,1082.0,202.0,793.0,213.0,2.4032,1,60000.0,81606.04067331595,21606.040673315947,-21606.040673315947
-117.93,33.95,31.0,3600.0,468.0,1382.0,435.0,7.4597,0,500001.0,333261.27545911924,166739.72454088076,166739.72454088076
-118.47,34.3,16.0,2495.0,551.0,2314.0,567.0,3.6736,0,192200.0,158496.1134499116,33703.88655008841,33703.88655008841
-119.09,36.21,38.0,1901.0,453.0,1613.0,400.0,1.8828,1,44600.0,71574.97376132343,26974.973761323432,-26974.973761323432
-121.18,37.79,16.0,1326.0,286.0,509.0,297.0,1.9464,1,112500.0,102297.93098004935,10202.06901995065,10202.06901995065
-122.65,41.72,15.0,3643.0,801.0,1784.0,743.0,1.8533,1,57500.0,13670.714197977708,43829.28580202229,43829.28580202229
-117.0,32.85,24.0,1888.0,319.0,950.0,319.0,5.282,0,140800.0,256171.36203375738,115371.36203375738,-115371.36203375738
-117.03,32.69,8.0,2460.0,397.0,1784.0,390.0,4.5662,4,175500.0,182231.45477866085,6731.4547786608455,-6731.4547786608455
-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2.5795,1,98700.0,182576.84582716855,83876.84582716855,-83876.84582716855
-118.92,35.26,20.0,3815.0,924.0,3450.0,920.0,2.0174,1,63700.0,83080.77347870763,19380.773478707633,-19380.773478707633
-118.86,34.21,26.0,3354.0,659.0,2020.0,648.0,4.1576,0,211800.0,236908.35846377618,25108.35846377618,-25108.35846377618
-117.11,32.58,21.0,2894.0,685.0,2109.0,712.0,2.2755,4,125000.0,159121.48408823417,34121.48408823417,-34121.48408823417
-117.86,33.6,30.0,1891.0,364.0,635.0,314.0,6.6265,0,500001.0,345829.1901690156,154171.8098309844,154171.8098309844
-118.35,34.03,35.0,1438.0,333.0,794.0,306.0,1.975,0,138100.0,155035.543876374,16935.543876373995,-16935.543876373995
-117.18,34.3,33.0,399.0,87.0,71.0,27.0,1.875,1,71300.0,79388.58158598024,8088.581585980239,-8088.581585980239
-122.07,37.59,15.0,3475.0,686.0,2568.0,653.0,4.6211,3,151400.0,210038.85227761624,58638.85227761624,-58638.85227761624
-118.11,34.03,36.0,1493.0,316.0,989.0,293.0,3.5272,0,213700.0,195221.06455048086,18478.935449519136,18478.935449519136
-117.92,33.89,12.0,1859.0,393.0,622.0,316.0,5.0258,0,161800.0,256118.18616727425,94318.18616727425,-94318.18616727425
-117.1,32.69,29.0,4174.0,1195.0,3675.0,1124.0,1.8112,4,103600.0,157566.84609769582,53966.846097695816,-53966.846097695816
-119.69,34.41,44.0,1208.0,357.0,603.0,297.0,2.6103,0,500000.0,247241.6193976087,252758.3806023913,252758.3806023913
-119.11,36.21,10.0,1972.0,455.0,1469.0,442.0,1.5407,1,58400.0,37484.063187138,20915.936812861997,20915.936812861997
-118.28,33.98,47.0,865.0,193.0,782.0,217.0,2.2411,0,93000.0,157830.16648556216,64830.166485562164,-64830.166485562164
-121.84,36.61,21.0,2876.0,802.0,2487.0,795.0,2.2007,0,112800.0,191294.23060930465,78494.23060930465,-78494.23060930465
-117.8,33.85,16.0,4151.0,637.0,1558.0,604.0,5.806,0,304900.0,270862.2397293813,34037.76027061872,34037.76027061872
-122.17,37.74,41.0,1613.0,445.0,1481.0,414.0,2.4028,3,97700.0,171097.48418036354,73397.48418036354,-73397.48418036354
-121.25,38.68,15.0,1497.0,243.0,730.0,242.0,4.9688,1,135600.0,166079.4511641821,30479.4511641821,-30479.4511641821
-118.43,33.99,45.0,2092.0,451.0,1190.0,429.0,3.8021,0,323000.0,245141.26850811433,77858.73149188567,77858.73149188567
-117.24,33.21,9.0,2486.0,626.0,1938.0,525.0,2.1293,0,151400.0,109406.56519731884,41993.434802681164,41993.434802681164
-122.42,37.8,52.0,2852.0,581.0,838.0,510.0,8.0755,3,500001.0,470680.2590097114,29320.740990288614,29320.740990288614
-118.3,34.26,28.0,1643.0,489.0,1142.0,458.0,3.1607,0,200600.0,200067.96203802087,532.0379619791347,532.0379619791347
-122.57,37.98,49.0,2860.0,552.0,1178.0,522.0,4.625,3,355000.0,302749.39642104023,52250.603578959766,52250.603578959766
-118.92,34.18,17.0,2400.0,352.0,1067.0,323.0,6.3522,0,259300.0,309160.7927384746,49860.792738474614,-49860.792738474614
-118.13,33.84,48.0,1895.0,294.0,881.0,293.0,6.3364,0,307400.0,329675.2592721161,22275.25927211612,-22275.25927211612
-122.04,37.67,29.0,1694.0,251.0,690.0,242.0,6.0501,3,254200.0,301238.3275436864,47038.32754368638,-47038.32754368638
-118.16,34.09,52.0,1722.0,448.0,1122.0,425.0,3.1204,0,224000.0,217389.37289318925,6610.627106810745,6610.627106810745
-117.12,34.06,38.0,281.0,55.0,151.0,52.0,1.3906,1,120800.0,67084.23577305998,53715.764226940024,53715.764226940024
-120.06,39.09,30.0,2979.0,583.0,316.0,124.0,2.1987,1,124000.0,46999.25261333707,77000.74738666293,77000.74738666293
-118.27,34.05,26.0,1164.0,674.0,1685.0,541.0,1.5727,0,225000.0,153472.67494023553,71527.32505976447,71527.32505976447
-117.39,33.96,52.0,1992.0,345.0,948.0,358.0,3.2917,1,129300.0,181607.66875515514,52307.668755155144,-52307.668755155144
-118.0,35.05,21.0,1739.0,425.0,945.0,362.0,3.4015,1,86500.0,147780.0066792525,61280.00667925249,-61280.00667925249
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,3,273000.0,288729.152392781,15729.15239278099,-15729.15239278099
-116.75,33.83,16.0,5277.0,1070.0,657.0,276.0,3.3333,1,143400.0,197936.72165211654,54536.72165211654,-54536.72165211654
-121.34,37.99,11.0,4487.0,868.0,2195.0,780.0,3.9615,1,194600.0,176711.13481220562,17888.865187794378,17888.865187794378
-122.02,37.99,37.0,2247.0,416.0,1237.0,397.0,4.45,3,161900.0,232511.71970847485,70611.71970847485,-70611.71970847485
-119.83,34.43,31.0,798.0,346.0,699.0,301.0,2.1417,4,205000.0,216749.0938730118,11749.093873011792,-11749.093873011792
-118.04,33.74,26.0,2532.0,421.0,1274.0,441.0,5.3559,0,235800.0,267894.94423137524,32094.944231375237,-32094.944231375237
-118.28,33.75,41.0,1305.0,381.0,1384.0,369.0,2.45,4,186800.0,172596.22720326317,14203.772796736826,14203.772796736826
-119.74,36.76,42.0,2093.0,470.0,1621.0,438.0,1.7994,1,58700.0,79580.52922382238,20880.529223822377,-20880.529223822377
-118.31,34.01,52.0,2547.0,475.0,1417.0,444.0,1.8214,0,123200.0,152594.6423378374,29394.642337837402,-29394.642337837402
-120.2,37.8,30.0,1189.0,255.0,446.0,165.0,3.4838,1,112500.0,129313.77856201216,16813.778562012158,-16813.778562012158
-116.9,32.77,8.0,3600.0,492.0,1421.0,482.0,6.2609,0,307100.0,270086.9861848961,37013.013815103914,37013.013815103914
-121.37,38.41,14.0,3727.0,685.0,1741.0,646.0,3.5625,1,125700.0,142149.0393075926,16449.03930759261,-16449.03930759261
-118.17,33.77,45.0,2508.0,797.0,1340.0,720.0,2.6786,4,191100.0,260944.08565151505,69844.08565151505,-69844.08565151505
-122.2,37.78,39.0,1752.0,399.0,1071.0,376.0,3.1167,3,121600.0,207222.53479807018,85622.53479807018,-85622.53479807018
-118.53,34.38,18.0,2288.0,607.0,2305.0,597.0,3.227,0,136100.0,156011.2207759212,19911.22077592119,-19911.22077592119
-121.71,39.41,22.0,1814.0,342.0,941.0,323.0,2.1728,1,59400.0,54488.51369259268,4911.486307407322,4911.486307407322
-118.51,34.29,29.0,1287.0,194.0,525.0,187.0,6.4171,0,319300.0,311458.0091523895,7841.990847610519,7841.990847610519
-121.23,37.78,20.0,273.0,49.0,149.0,49.0,4.8229,1,158300.0,203232.35562891475,44932.35562891475,-44932.35562891475
-119.74,36.73,42.0,1236.0,272.0,946.0,261.0,2.0536,1,50000.0,92989.19492459942,42989.19492459942,-42989.19492459942
-117.57,33.88,35.0,1755.0,446.0,1453.0,428.0,2.316,1,119400.0,131354.0210990184,11954.021099018399,-11954.021099018399
-122.28,37.86,52.0,1659.0,367.0,788.0,346.0,2.8214,3,164300.0,218355.94381400396,54055.94381400396,-54055.94381400396
-121.92,36.61,21.0,1242.0,340.0,834.0,362.0,2.4922,4,243800.0,207290.15517282844,36509.84482717156,36509.84482717156
-121.8,37.32,14.0,4412.0,924.0,2698.0,891.0,4.7027,0,227600.0,250136.0192660296,22536.019266029587,-22536.019266029587
-116.31,33.65,8.0,3079.0,558.0,1572.0,474.0,4.5938,1,102600.0,148940.10596921545,46340.10596921545,-46340.10596921545
-122.95,38.73,37.0,1548.0,328.0,863.0,287.0,2.9792,0,151300.0,186894.05819273554,35594.05819273554,-35594.05819273554
-119.03,34.24,25.0,3655.0,545.0,1776.0,544.0,5.687,0,238100.0,286880.40590861085,48780.40590861085,-48780.40590861085
-121.82,37.38,32.0,3747.0,665.0,1687.0,649.0,5.4949,0,330800.0,303121.5225882565,27678.477411743486,27678.477411743486
-122.12,37.48,36.0,880.0,177.0,795.0,188.0,3.8194,3,159400.0,218113.05562979137,58713.05562979137,-58713.05562979137
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,3,327600.0,325755.8064304573,1844.1935695427237,1844.1935695427237
-117.66,33.64,17.0,3173.0,501.0,1555.0,520.0,6.7079,0,250800.0,297261.88981761533,46461.88981761533,-46461.88981761533
-119.58,36.11,21.0,2004.0,385.0,1397.0,398.0,2.2169,1,61600.0,90102.17756807712,28502.177568077124,-28502.177568077124
-118.62,34.06,25.0,3546.0,584.0,1530.0,601.0,7.4001,4,500001.0,372216.2170981099,127784.78290189011,127784.78290189011
-121.22,38.58,25.0,394.0,94.0,155.0,83.0,2.233,1,55000.0,76609.54126739014,21609.541267390145,-21609.541267390145
-122.29,38.32,23.0,4312.0,993.0,2317.0,934.0,2.7667,3,153200.0,194610.37408171824,41410.37408171824,-41410.37408171824
-116.47,34.07,22.0,5473.0,1234.0,2581.0,1098.0,1.9375,1,65300.0,115998.28460052886,50698.28460052886,-50698.28460052886
-121.83,37.32,17.0,1887.0,664.0,1906.0,597.0,2.5652,0,165300.0,177948.16178508513,12648.161785085133,-12648.161785085133
-121.82,37.38,32.0,1650.0,246.0,768.0,263.0,6.8462,0,320900.0,338287.3812704054,17387.38127040543,-17387.38127040543
-119.64,36.56,34.0,576.0,117.0,363.0,97.0,2.0658,1,92500.0,89381.3071321755,3118.692867824502,3118.692867824502
-122.45,37.7,46.0,2193.0,499.0,1814.0,489.0,4.0125,4,230100.0,245174.75112993634,15074.75112993634,-15074.75112993634
-117.95,33.81,33.0,1724.0,291.0,943.0,285.0,5.118,0,195200.0,254491.76493111975,59291.764931119746,-59291.764931119746
-117.07,32.79,25.0,2489.0,314.0,911.0,309.0,7.8336,4,277600.0,359065.66783344664,81465.66783344664,-81465.66783344664
-118.36,34.1,36.0,2963.0,838.0,1129.0,745.0,2.5588,0,500001.0,254337.3536516753,245663.6463483247,245663.6463483247
-118.27,33.8,28.0,4698.0,902.0,3287.0,881.0,4.8508,0,215900.0,232280.89710288908,16380.897102889081,-16380.897102889081
-118.27,34.05,52.0,1292.0,864.0,2081.0,724.0,0.9563,0,275000.0,179384.7326015809,95615.26739841909,95615.26739841909
-119.84,36.8,19.0,3244.0,776.0,1463.0,710.0,2.0469,1,66900.0,129442.81738340529,62542.81738340529,-62542.81738340529
-122.15,37.43,47.0,2600.0,490.0,1149.0,465.0,5.0203,3,476300.0,312826.147629458,163473.852370542,163473.852370542
-122.41,37.75,52.0,3065.0,622.0,1405.0,606.0,3.7813,3,275900.0,277476.6239250037,1576.6239250036888,-1576.6239250036888
